Name,Symbol,Total gain/loss,Total gain/loss_Currency,Total gain/loss %,Holding value,Holding value_Currency
Parag Milk Foods Ltd,PARAGMILK:NSI,"5,039.65",INR,10.96,n/a,n/a
Parsvnath Developers Ltd,PARSVNATH:NSI,"1,453.50",INR,7.21,n/a,n/a
Patel Engineering Ltd,PATELENG:NSI,805.00,INR,3.14,n/a,n/a
Patspin India Ltd,PATSPINLTD:NSI,31.05,INR,1.85,n/a,n/a
Pearl Global Industries Ltd,PGIL:NSI,208.80,INR,2.99,n/a,n/a
Peninsula Land Ltd,PENINLAND:NSI,"4,354.00",INR,29.60,n/a,n/a
Phillips Carbon Black Ltd,PHILIPCARB:NSI,"8,173.55",INR,13.18,n/a,n/a
Pnb Gilts Ltd,PNBGILTS:NSI,842.10,INR,4.46,n/a,n/a
Polaris Consulting & Services Ltd,POLARIS:NSI,228.00,INR,0.4474,n/a,n/a
Praj Industries Ltd,PRAJIND:NSI,-100.25,INR,-0.3666,n/a,n/a
Prakash Industries Ltd,PRAKASH:NSI,"13,328.00",INR,37.82,n/a,n/a
Premier Ltd,PREMIER:NSI,102.00,INR,5.32,n/a,n/a
Prime Focus Ltd,PFOCUS:NSI,"11,055.60",INR,18.09,n/a,n/a
Prime Securities Ltd,PRIMESECU:NSI,722.75,INR,36.35,n/a,n/a
Pritish Nandy Communications Ltd,PNC:NSI,34.10,INR,6.08,n/a,n/a
Provogue India Ltd,PROVOGE:NSI,78.00,INR,3.61,n/a,n/a
PTC India Financial Services Ltd,PFS:NSI,"2,218.05",INR,4.18,n/a,n/a
PTC India Ltd,PTC:NSI,"-2,240.60",INR,-2.77,n/a,n/a
Pudumjee Industries Ltd,PDUMJEIND:NSI,-928.20,INR,-42.50,n/a,n/a
Punj Lloyd Ltd,PUNJLLOYD:NSI,-112.05,INR,-0.7109,n/a,n/a
Punjab Chemicals and Crop Protection Ltd,PUNJABCHEM:NSI,999.00,INR,10.22,n/a,n/a
Puravankara Ltd,PURVA:NSI,"8,210.40",INR,21.51,n/a,n/a
PVP Ventures Ltd,PVP:NSI,-81.90,INR,-3.00,n/a,n/a
R S Software (India) Ltd,RSSOFTWARE:NSI,25.65,INR,0.72,n/a,n/a
Radico Khaitan Ltd,RADICO:NSI,"36,857.45",INR,131.95,n/a,n/a
Raj Television Network Ltd,RAJTV:NSI,11.60,INR,0.1686,n/a,n/a
Ramco Industries Ltd,RAMCOIND:NSI,"10,132.50",INR,21.36,n/a,n/a
Ramco Systems Ltd,RAMCOSYS:NSI,-163.20,INR,-0.6276,n/a,n/a
Ramkrishna Forgings Ltd,RKFORGE:NSI,"6,657.60",INR,15.23,n/a,n/a
Ramky Infrastructure Ltd,RAMKY:NSI,"7,207.25",INR,57.97,n/a,n/a
Rane Brake Linings Ltd,RBL:NSI,"1,381.50",INR,6.78,n/a,n/a
Rane Engine Valve Ltd,RANEENGINE:NSI,507.75,INR,5.78,n/a,n/a
RattanIndia Power Ltd,RTNPOWER:NSI,-328.85,INR,-0.9009,n/a,n/a
Reliance Industrial Infrastructure Ltd,RIIL:NSI,984.30,INR,5.99,n/a,n/a
Rico Auto Industries Ltd,RICOAUTO:NSI,"1,806.00",INR,6.47,n/a,n/a
Rolta India Ltd,ROLTA:NSI,495.45,INR,2.56,n/a,n/a
RSWM Ltd,RSWM:NSI,"1,872.00",INR,11.69,n/a,n/a
Ruchi Soya Industries Ltd,RUCHISOYA:NSI,-632.40,INR,-3.53,n/a,n/a
Rupa and Company Ltd,RUPA:NSI,734.55,INR,0.9756,n/a,n/a
